1,2
0.36,0.2
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.04,0.0
0.04,0.0
0.08,0.1
0.08,0.0
0.08,0.1
0.16,0.0
0.16,0.15
0.12,0.35
0.12,0.1
0.2,0.2
0.32,0.15
0.24,0.35
0.36,0.5
0.4,0.7
0.48,0.65
0.8,0.7
0.6,0.45
0.64,0.45
0.6,0.6
0.52,0.75
0.36,0.45
0.36,0.45
0.48,0.55
0.52,0.65
0.6,0.6
0.4,0.4
0.4,0.5
0.56,0.6
0.48,0.55
0.56,0.55
0.52,0.6
0.4,0.6
0.4,0.3
0.44,0.25
0.6,0.55
0.52,0.65
0.56,0.55
0.36,0.2
0.28,0.3
0.36,0.45
0.48,0.65
0.48,0.45
0.6,0.55
0.48,0.55
0.68,0.65
0.6,0.35
0.52,0.55
0.44,0.4
0.4,0.3
0.4,0.55
0.56,0.65
0.56,0.55
0.52,0.7
0.48,0.4
0.4,0.4
0.32,0.35
0.6,0.55
0.6,0.45
0.56,0.55
0.52,0.65
0.64,0.75
0.48,0.6
0.52,0.65
0.4,0.45
0.52,0.55
0.56,0.55
0.6,0.6
0.44,0.5
0.52,0.45
0.48,0.45
0.68,0.55
0.56,0.5
0.48,0.3
0.44,0.3
0.44,0.55
0.52,0.5
0.4,0.6
0.56,0.4
0.72,0.55
0.44,0.65
0.6,0.75
0.56,0.75
0.48,0.5
0.52,0.4
0.44,0.45
0.6,0.7
0.6,0.7
0.48,0.45
0.56,0.5
0.4,0.35
0.48,0.3
0.6,0.45
0.48,0.5
0.52,0.5
0.6,0.35
0.56,0.45
0.52,0.6
0.48,0.5
0.4,0.4
0.32,0.55
0.32,0.3
0.4,0.2
0.52,0.5
0.56,0.7
0.52,0.7
0.32,0.55
0.36,0.55
0.4,0.55
0.52,0.45
0.56,0.5
0.4,0.5
0.56,0.45
0.32,0.3
0.6,0.3
0.52,0.4
0.52,0.65
0.48,0.6
0.52,0.45
0.6,0.45
0.6,0.7
0.56,0.5
0.4,0.3
0.4,0.4
0.44,0.7
0.24,0.55
0.52,0.55
0.64,0.4
0.88,0.55
0.64,0.55
0.64,0.65
0.52,0.55
0.64,0.65
0.44,0.6
0.52,0.6
0.6,0.5
0.56,0.45
0.48,0.5
0.56,0.55
0.48,0.5
0.4,0.5
