,0
327,109
328,116.08695652173913
329,"[-5.0, 4.343959878939482]"
330,110
331,116.08695652173913
332,"[-5.0, 4.343959878939482]"
333,111
334,116.08695652173913
335,"[-5.0, 4.343959878939482]"
336,112
337,116.08695652173913
338,"[-5.0, 4.343959878939482]"
339,113
340,119.56521739130434
341,"[-5.0, 4.343959878939482]"
342,114
343,123.91304347826087
344,"[-5.0, 4.343959878939482]"
345,115
346,123.91304347826087
347,"[-5.0, 4.343959878939482]"
348,116
349,127.3913043478261
350,"[-5.0, 4.343959878939482]"
351,117
352,130.8695652173913
353,"[-5.0, 4.343959878939482]"
354,118
355,128.2608695652174
356,"[-5.0, 4.343959878939482]"
357,119
358,126.5217391304348
359,"[-5.0, 4.343959878939482]"
360,120
361,123.91304347826089
362,"[-5.0, 4.343959878939482]"
363,121
364,120.43478260869567
365,"[-5.0, 4.343959878939482]"
366,122
367,119.56521739130436
368,"[-5.0, 4.343959878939482]"
369,123
370,117.82608695652175
371,"[-5.0, 4.343959878939482]"
372,124
373,122.17391304347827
374,"[-5.0, 4.343959878939482]"
375,125
376,126.52173913043478
377,"[-5.0, 4.343959878939482]"
378,126
379,130.8695652173913
380,"[-5.0, 4.343959878939482]"
381,127
382,136.08695652173913
383,"[-5.0, 4.343959878939482]"
384,128
385,136.08695652173913
386,"[-5.0, 4.343959878939482]"
387,129
388,139.56521739130434
389,"[-5.0, 4.343959878939482]"
390,130
391,138.69565217391303
392,"[-5.0, 4.343959878939482]"
393,131
394,136.95652173913044
395,"[-5.0, 4.343959878939482]"
396,132
397,135.21739130434784
398,"[-5.0, 4.343959878939482]"
399,133
400,130.8695652173913
401,"[-5.0, 4.343959878939482]"
402,134
403,131.73913043478262
404,"[-5.0, 4.343959878939482]"
405,135
406,127.39130434782611
407,"[-5.0, 4.343959878939482]"
408,136
409,120.43478260869567
410,"[-5.0, 4.343959878939482]"
411,137
412,118.69565217391306
413,"[-5.0, 4.343959878939482]"
414,138
415,116.08695652173915
416,"[-5.0, 4.343959878939482]"
417,139
418,112.60869565217394
419,"[-5.0, 4.343959878939482]"
420,140
421,110.00000000000003
422,"[-5.0, 4.343959878939482]"
423,141
424,111.73913043478264
425,"[-5.0, 4.343959878939482]"
426,142
427,109.13043478260873
428,"[-5.0, 4.343959878939482]"
429,143
430,104.78260869565221
431,"[-5.0, 4.343959878939482]"
432,144
433,104.78260869565221
434,"[-5.0, 4.343959878939482]"
435,145
436,102.17391304347831
437,"[-5.0, 4.343959878939482]"
438,146
439,99.5652173913044
440,"[-5.0, 4.343959878939482]"
441,147
442,98.6956521739131
443,"[-5.0, 4.343959878939482]"
444,148
445,96.9565217391305
446,"[-5.0, 4.343959878939482]"
447,149
448,96.9565217391305
449,"[-5.0, 4.343959878939482]"
450,150
451,95.21739130434788
452,"[-5.0, 4.343959878939482]"
453,151
454,94.34782608695657
455,"[-5.0, 4.343959878939482]"
456,152
457,94.34782608695657
458,"[-5.0, 4.343959878939482]"
459,153
460,95.21739130434788
461,"[-5.0, 4.343959878939482]"
462,154
463,98.6956521739131
464,"[-5.0, 4.343959878939482]"
465,155
466,99.56521739130442
467,"[-5.0, 4.343959878939482]"
468,156
469,101.30434782608702
470,"[-5.0, 4.343959878939482]"
471,157
472,101.30434782608702
473,"[-5.0, 4.343959878939482]"
474,158
475,102.17391304347832
476,"[-5.0, 4.343959878939482]"
477,159
478,98.6956521739131
479,"[-5.0, 4.343959878939482]"
480,160
481,93.47826086956528
482,"[-5.0, 4.343959878939482]"
483,161
484,89.13043478260876
485,"[-5.0, 4.343959878939482]"
486,162
487,88.26086956521746
488,"[-5.0, 4.343959878939482]"
489,163
490,84.78260869565224
491,"[-5.0, 4.343959878939482]"
492,164
493,83.04347826086963
494,"[-5.0, 4.343959878939482]"
495,165
496,83.04347826086963
497,"[-5.0, 4.343959878939482]"
498,166
499,82.17391304347834
500,"[-5.0, 4.343959878939482]"
501,167
502,83.04347826086965
503,"[-5.0, 4.343959878939482]"
504,168
505,79.56521739130443
506,"[-5.0, 4.343959878939482]"
507,169
508,77.82608695652182
509,"[-5.0, 4.343959878939482]"
510,170
511,75.21739130434791
512,"[-5.0, 4.343959878939482]"
513,171
514,72.608695652174
515,"[-5.0, 4.343959878939482]"
516,172
517,71.73913043478271
518,"[-5.0, 4.343959878939482]"
519,173
520,71.73913043478271
521,"[-5.0, 4.343959878939482]"
522,174
523,70.0000000000001
524,"[-5.0, 4.343959878939482]"
525,175
526,68.26086956521749
527,"[-5.0, 4.343959878939482]"
528,176
529,69.13043478260879
530,"[-5.0, 4.343959878939482]"
531,177
532,69.13043478260879
533,"[-5.0, 4.343959878939482]"
534,178
535,69.13043478260879
536,"[-5.0, 4.343959878939482]"
537,179
538,69.13043478260879
539,"[-5.0, 4.343959878939482]"
540,180
541,69.13043478260879
542,"[-5.0, 4.343959878939482]"
543,181
544,69.13043478260879
545,"[-5.0, 4.343959878939482]"
546,182
547,69.13043478260879
548,"[-5.0, 4.343959878939482]"
549,183
550,69.13043478260879
551,"[-5.0, 4.343959878939482]"
552,184
553,69.13043478260879
554,"[-5.0, 4.343959878939482]"
555,185
556,69.13043478260879
557,"[-5.0, 4.343959878939482]"
558,186
559,69.13043478260879
560,"[-5.0, 4.343959878939482]"
561,187
562,69.13043478260879
563,"[-5.0, 4.343959878939482]"
564,188
565,69.13043478260879
566,"[-5.0, 4.343959878939482]"
567,189
568,69.13043478260879
569,"[-5.0, 4.343959878939482]"
570,190
571,69.13043478260879
572,"[-5.0, 4.343959878939482]"
573,191
574,69.13043478260879
575,"[-5.0, 4.343959878939482]"
576,192
577,69.13043478260879
578,"[-5.0, 4.343959878939482]"
579,193
580,69.13043478260879
581,"[-5.0, 4.343959878939482]"
582,194
583,69.13043478260879
584,"[-5.0, 4.343959878939482]"
585,195
586,69.13043478260879
587,"[-5.0, 4.343959878939482]"
588,196
589,69.13043478260879
590,"[-5.0, 4.343959878939482]"
591,197
592,69.13043478260879
593,"[-5.0, 4.343959878939482]"
594,198
595,69.13043478260879
596,"[-5.0, 4.343959878939482]"
597,199
598,69.13043478260879
599,"[-5.0, 4.343959878939482]"
600,200
601,69.13043478260879
602,"[-5.0, 4.343959878939482]"
603,201
604,69.13043478260879
605,"[-5.0, 4.343959878939482]"
606,202
607,69.13043478260879
608,"[-5.0, 4.343959878939482]"
609,203
610,69.13043478260879
611,"[-5.0, 4.343959878939482]"
612,204
613,69.13043478260879
614,"[-5.0, 4.343959878939482]"
615,205
616,69.13043478260879
617,"[-5.0, 4.343959878939482]"
618,206
619,69.13043478260879
620,"[-5.0, 4.343959878939482]"
621,207
622,69.13043478260879
623,"[-5.0, 4.343959878939482]"
624,208
625,69.13043478260879
626,"[-5.0, 4.343959878939482]"
627,209
628,69.13043478260879
629,"[-5.0, 4.343959878939482]"
630,210
631,69.13043478260879
632,"[-5.0, 4.343959878939482]"
633,211
634,69.13043478260879
635,"[-5.0, 4.343959878939482]"
636,212
637,69.13043478260879
638,"[-5.0, 4.343959878939482]"
639,213
640,69.13043478260879
641,"[-5.0, 4.343959878939482]"
642,214
643,69.13043478260879
644,"[-5.0, 4.343959878939482]"
645,215
646,69.13043478260879
647,"[-5.0, 4.343959878939482]"
648,216
649,69.13043478260879
650,"[-5.0, 4.343959878939482]"
651,217
652,69.13043478260879
653,"[-5.0, 4.343959878939482]"
654,218
655,69.13043478260879
656,"[-5.0, 4.343959878939482]"
657,219
658,69.13043478260879
659,"[-5.0, 4.343959878939482]"
660,220
661,69.13043478260879
662,"[-5.0, 4.343959878939482]"
663,221
664,69.13043478260879
665,"[-5.0, 4.343959878939482]"
666,222
667,69.13043478260879
668,"[-5.0, 4.343959878939482]"
669,223
670,69.13043478260879
671,"[-5.0, 4.343959878939482]"
672,224
673,69.13043478260879
674,"[-5.0, 4.343959878939482]"
675,225
676,69.13043478260879
677,"[-5.0, 4.343959878939482]"
678,226
679,69.13043478260879
680,"[-5.0, 4.343959878939482]"
681,227
682,69.13043478260879
683,"[-5.0, 4.343959878939482]"
684,228
685,69.13043478260879
686,"[-5.0, 4.343959878939482]"
687,229
688,69.13043478260879
689,"[-5.0, 4.343959878939482]"
690,230
691,69.13043478260879
692,"[-5.0, 4.343959878939482]"
693,231
694,69.13043478260879
695,"[-5.0, 4.343959878939482]"
696,232
697,69.13043478260879
698,"[-5.0, 4.343959878939482]"
699,233
700,69.13043478260879
701,"[-5.0, 4.343959878939482]"
702,234
703,69.13043478260879
704,"[-5.0, 4.343959878939482]"
705,235
706,69.13043478260879
707,"[-5.0, 4.343959878939482]"
708,236
709,69.13043478260879
710,"[-5.0, 4.343959878939482]"
711,237
712,69.13043478260879
713,"[-5.0, 4.343959878939482]"
714,238
715,69.13043478260879
716,"[-5.0, 4.343959878939482]"
717,239
718,69.13043478260879
719,"[-5.0, 4.343959878939482]"
720,240
721,69.13043478260879
722,"[-5.0, 4.343959878939482]"
723,241
724,69.13043478260879
725,"[-5.0, 4.343959878939482]"
726,242
727,69.13043478260879
728,"[-5.0, 4.343959878939482]"
729,243
730,69.13043478260879
731,"[-5.0, 4.343959878939482]"
732,244
733,69.13043478260879
734,"[-5.0, 4.343959878939482]"
735,245
736,69.13043478260879
737,"[-5.0, 4.343959878939482]"
738,246
739,69.13043478260879
740,"[-5.0, 4.343959878939482]"
741,247
742,69.13043478260879
743,"[-5.0, 4.343959878939482]"
744,248
745,69.13043478260879
746,"[-5.0, 4.343959878939482]"
747,249
748,69.13043478260879
749,"[-5.0, 4.343959878939482]"
750,250
751,69.13043478260879
752,"[-5.0, 4.343959878939482]"
753,251
754,69.13043478260879
755,"[-5.0, 4.343959878939482]"
756,252
757,69.13043478260879
758,"[-5.0, 4.343959878939482]"
759,253
760,69.13043478260879
761,"[-5.0, 4.343959878939482]"
762,254
763,69.13043478260879
764,"[-5.0, 4.343959878939482]"
765,255
766,69.13043478260879
767,"[-5.0, 4.343959878939482]"
768,256
769,69.13043478260879
770,"[-5.0, 4.343959878939482]"
771,257
772,69.13043478260879
773,"[-5.0, 4.343959878939482]"
774,258
775,69.13043478260879
776,"[-5.0, 4.343959878939482]"
777,259
778,69.13043478260879
779,"[-5.0, 4.343959878939482]"
780,260
781,69.13043478260879
782,"[-5.0, 4.343959878939482]"
783,261
784,69.13043478260879
785,"[-5.0, 4.343959878939482]"
786,262
787,69.13043478260879
788,"[-5.0, 4.343959878939482]"
789,263
790,69.13043478260879
791,"[-5.0, 4.343959878939482]"
792,264
793,69.13043478260879
794,"[-5.0, 4.343959878939482]"
795,265
796,69.13043478260879
797,"[-5.0, 4.343959878939482]"
798,266
799,69.13043478260879
800,"[-5.0, 4.343959878939482]"
801,267
802,69.13043478260879
803,"[-5.0, 4.343959878939482]"
804,268
805,69.13043478260879
806,"[-5.0, 4.343959878939482]"
807,269
808,69.13043478260879
809,"[-5.0, 4.343959878939482]"
810,270
811,69.13043478260879
812,"[-5.0, 4.343959878939482]"
813,271
814,69.13043478260879
815,"[-5.0, 4.343959878939482]"
816,272
817,69.13043478260879
818,"[-5.0, 4.343959878939482]"
819,273
820,69.13043478260879
821,"[-5.0, 4.343959878939482]"
822,274
823,69.13043478260879
824,"[-5.0, 4.343959878939482]"
825,275
826,69.13043478260879
827,"[-5.0, 4.343959878939482]"
828,276
829,69.13043478260879
830,"[-5.0, 4.343959878939482]"
831,277
832,69.13043478260879
833,"[-5.0, 4.343959878939482]"
834,278
835,69.13043478260879
836,"[-5.0, 4.343959878939482]"
837,279
838,69.13043478260879
839,"[-5.0, 4.343959878939482]"
840,280
841,69.13043478260879
842,"[-5.0, 4.343959878939482]"
843,281
844,69.13043478260879
845,"[-5.0, 4.343959878939482]"
846,282
847,69.13043478260879
848,"[-5.0, 4.343959878939482]"
849,283
850,69.13043478260879
851,"[-5.0, 4.343959878939482]"
852,284
853,69.13043478260879
854,"[-5.0, 4.343959878939482]"
855,285
856,69.13043478260879
857,"[-5.0, 4.343959878939482]"
858,286
859,69.13043478260879
860,"[-5.0, 4.343959878939482]"
861,287
862,69.13043478260879
863,"[-5.0, 4.343959878939482]"
864,288
865,69.13043478260879
866,"[-5.0, 4.343959878939482]"
867,289
868,69.13043478260879
869,"[-5.0, 4.343959878939482]"
870,290
871,69.13043478260879
872,"[-5.0, 4.343959878939482]"
873,291
874,69.13043478260879
875,"[-5.0, 4.343959878939482]"
876,292
877,69.13043478260879
878,"[-5.0, 4.343959878939482]"
879,293
880,69.13043478260879
881,"[-5.0, 4.343959878939482]"
882,294
883,69.13043478260879
884,"[-5.0, 4.343959878939482]"
885,295
886,69.13043478260879
887,"[-5.0, 4.343959878939482]"
888,296
889,69.13043478260879
890,"[-5.0, 4.343959878939482]"
891,297
892,69.13043478260879
893,"[-5.0, 4.343959878939482]"
894,298
895,69.13043478260879
896,"[-5.0, 4.343959878939482]"
897,299
898,69.13043478260879
899,"[-5.0, 4.343959878939482]"
900,300
901,69.13043478260879
902,"[-5.0, 4.343959878939482]"
903,301
904,69.13043478260879
905,"[-5.0, 4.343959878939482]"
906,302
907,69.13043478260879
908,"[-5.0, 4.343959878939482]"
909,303
910,69.13043478260879
911,"[-5.0, 4.343959878939482]"
912,304
913,69.13043478260879
914,"[-5.0, 4.343959878939482]"
915,305
916,69.13043478260879
917,"[-5.0, 4.343959878939482]"
918,306
919,69.13043478260879
920,"[-5.0, 4.343959878939482]"
921,307
922,69.13043478260879
923,"[-5.0, 4.343959878939482]"
924,308
925,69.13043478260879
926,"[-5.0, 4.343959878939482]"
927,309
928,69.13043478260879
929,"[-5.0, 4.343959878939482]"
930,310
931,69.13043478260879
932,"[-5.0, 4.343959878939482]"
933,311
934,69.13043478260879
935,"[-5.0, 4.343959878939482]"
936,312
937,69.13043478260879
938,"[-5.0, 4.343959878939482]"
939,313
940,69.13043478260879
941,"[-5.0, 4.343959878939482]"
942,314
943,69.13043478260879
944,"[-5.0, 4.343959878939482]"
945,315
946,69.13043478260879
947,"[-5.0, 4.343959878939482]"
948,316
949,69.13043478260879
950,"[-5.0, 4.343959878939482]"
951,317
952,69.13043478260879
953,"[-5.0, 4.343959878939482]"
954,318
955,69.13043478260879
956,"[-5.0, 4.343959878939482]"
957,319
958,69.13043478260879
959,"[-5.0, 4.343959878939482]"
960,320
961,69.13043478260879
962,"[-5.0, 4.343959878939482]"
963,321
964,69.13043478260879
965,"[-5.0, 4.343959878939482]"
966,322
967,69.13043478260879
968,"[-5.0, 4.343959878939482]"
969,323
970,69.13043478260879
971,"[-5.0, 4.343959878939482]"
972,324
973,69.13043478260879
974,"[-5.0, 4.343959878939482]"
975,325
976,69.13043478260879
977,"[-5.0, 4.343959878939482]"
978,326
979,69.13043478260879
980,"[-5.0, 4.343959878939482]"
981,327
982,69.13043478260879
983,"[-5.0, 4.343959878939482]"
984,328
985,69.13043478260879
986,"[-5.0, 4.343959878939482]"
987,329
988,69.13043478260879
989,"[-5.0, 4.343959878939482]"
990,330
991,69.13043478260879
992,"[-5.0, 4.343959878939482]"
993,331
994,69.13043478260879
995,"[-5.0, 4.343959878939482]"
996,332
997,69.13043478260879
998,"[-5.0, 4.343959878939482]"
999,333
1000,69.13043478260879
1001,"[-5.0, 4.343959878939482]"
1002,334
1003,69.13043478260879
1004,"[-5.0, 4.343959878939482]"
1005,335
1006,69.13043478260879
1007,"[-5.0, 4.343959878939482]"
1008,336
1009,69.13043478260879
1010,"[-5.0, 4.343959878939482]"
1011,337
1012,69.13043478260879
1013,"[-5.0, 4.343959878939482]"
1014,338
1015,69.13043478260879
1016,"[-5.0, 4.343959878939482]"
1017,339
1018,69.13043478260879
1019,"[-5.0, 4.343959878939482]"
1020,340
1021,69.13043478260879
1022,"[-5.0, 4.343959878939482]"
1023,341
1024,69.13043478260879
1025,"[-5.0, 4.343959878939482]"
1026,342
1027,69.13043478260879
1028,"[-5.0, 4.343959878939482]"
1029,343
1030,69.13043478260879
1031,"[-5.0, 4.343959878939482]"
1032,344
1033,69.13043478260879
1034,"[-5.0, 4.343959878939482]"
1035,345
1036,69.13043478260879
1037,"[-5.0, 4.343959878939482]"
1038,346
1039,69.13043478260879
1040,"[-5.0, 4.343959878939482]"
1041,347
1042,69.13043478260879
1043,"[-5.0, 4.343959878939482]"
1044,348
1045,69.13043478260879
1046,"[-5.0, 4.343959878939482]"
1047,349
1048,69.13043478260879
1049,"[-5.0, 4.343959878939482]"
1050,350
1051,69.13043478260879
1052,"[-5.0, 4.343959878939482]"
1053,351
1054,69.13043478260879
1055,"[-5.0, 4.343959878939482]"
1056,352
1057,69.13043478260879
1058,"[-5.0, 4.343959878939482]"
1059,353
1060,69.13043478260879
1061,"[-5.0, 4.343959878939482]"
1062,354
1063,69.13043478260879
1064,"[-5.0, 4.343959878939482]"
1065,355
1066,69.13043478260879
1067,"[-5.0, 4.343959878939482]"
1068,356
1069,69.13043478260879
1070,"[-5.0, 4.343959878939482]"
1071,357
1072,69.13043478260879
1073,"[-5.0, 4.343959878939482]"
1074,358
1075,69.13043478260879
1076,"[-5.0, 4.343959878939482]"
1077,359
1078,69.13043478260879
1079,"[-5.0, 4.343959878939482]"
1080,360
1081,69.13043478260879
1082,"[-5.0, 4.343959878939482]"
1083,1
1084,69.13043478260879
1085,"[-5.0, 4.343959878939482]"
1086,2
1087,69.13043478260879
1088,"[-5.0, 4.343959878939482]"
1089,3
1090,69.13043478260879
1091,"[-5.0, 4.343959878939482]"
1092,4
1093,69.13043478260879
1094,"[-5.0, 4.343959878939482]"
1095,5
1096,69.13043478260879
1097,"[-5.0, 4.343959878939482]"
1098,6
1099,69.13043478260879
1100,"[-5.0, 4.343959878939482]"
1101,7
1102,69.13043478260879
1103,"[-5.0, 4.343959878939482]"
1104,8
1105,69.13043478260879
1106,"[-5.0, 4.343959878939482]"
1107,9
1108,69.13043478260879
