,0,1,2
0,0,90.0,0
1,1,90.0,0
2,2,90.0,0
3,3,90.34482758620689,0
4,4,91.72413793103448,1
5,5,91.03448275862068,2
6,6,91.03448275862068,3
7,7,91.37931034482757,4
8,8,91.72413793103446,5
9,9,93.44827586206894,6
10,10,94.13793103448273,7
11,11,94.48275862068962,8
12,12,94.82758620689651,9
13,13,94.48275862068962,10
14,14,94.48275862068962,11
15,15,93.79310344827583,12
16,16,94.13793103448272,13
17,17,93.79310344827583,14
18,18,93.44827586206894,15
19,19,93.10344827586205,16
20,20,93.10344827586205,17
21,21,95.17241379310343,18
22,22,95.51724137931032,19
23,23,94.82758620689653,20
24,24,95.86206896551721,21
25,25,96.551724137931,22
26,26,93.10344827586204,23
27,27,91.72413793103445,24
28,28,93.44827586206893,25
29,29,94.82758620689651,26
30,30,95.8620689655172,27
31,31,95.1724137931034,28
32,32,95.8620689655172,29
33,33,96.20689655172409,30
34,34,97.24137931034477,31
35,35,99.31034482758615,32
36,36,97.24137931034477,33
37,37,96.55172413793098,34
38,38,94.1379310344827,35
39,39,89.99999999999994,36
40,40,87.58620689655167,37
41,41,89.31034482758615,38
42,42,88.62068965517236,39
43,43,91.03448275862063,40
44,44,92.7586206896551,41
45,45,94.13793103448269,42
46,46,93.10344827586201,43
47,47,93.10344827586201,44
48,48,93.10344827586201,45
49,49,94.13793103448269,46
50,50,96.55172413793096,47
51,51,98.27586206896544,48
52,52,99.99999999999991,49
53,53,99.99999999999991,50
54,54,98.27586206896544,51
55,55,97.58620689655164,52
56,56,96.89655172413785,53
57,57,97.58620689655164,54
58,58,97.24137931034475,55
59,59,97.93103448275855,56
60,60,97.58620689655166,57
61,61,97.58620689655166,58
62,62,97.93103448275855,59
63,63,97.93103448275855,60
64,64,98.62068965517234,61
65,65,98.27586206896545,62
66,66,98.96551724137925,63
67,67,98.96551724137925,64
68,68,99.31034482758614,65
69,69,98.96551724137925,66
70,70,99.31034482758614,67
71,71,98.27586206896545,68
72,72,98.27586206896545,69
73,73,98.27586206896545,70
74,74,98.27586206896545,71
75,75,98.27586206896545,72
76,76,98.27586206896545,73
77,77,98.27586206896545,74
78,78,98.27586206896545,75
79,79,98.27586206896545,76
80,80,98.27586206896545,77
81,81,98.27586206896545,78
82,82,98.27586206896545,79
83,83,98.27586206896545,80
84,84,98.27586206896545,81
85,85,98.27586206896545,82
86,86,98.27586206896545,83
87,87,98.27586206896545,84
88,88,98.27586206896545,85
89,89,98.27586206896545,86
90,90,98.27586206896545,87
91,91,98.27586206896545,88
92,92,98.27586206896545,89
93,93,98.27586206896545,90
94,94,98.27586206896545,91
95,95,98.27586206896545,92
96,96,98.27586206896545,93
97,97,98.27586206896545,94
98,98,98.27586206896545,95
99,99,98.27586206896545,96
100,100,98.27586206896545,97
101,101,98.27586206896545,98
102,102,98.27586206896545,99
