,0
0,0.0
1,90.0
2,0.0
3,1.0
4,90.0
5,0.0
6,2.0
7,89.62962962962963
8,0.0
9,3.0
10,89.94891443167306
11,1.0
12,4.0
13,89.10600255427842
14,2.0
15,5.0
16,89.23371647509579
17,3.0
18,6.0
19,89.60408684546616
20,4.0
21,7.0
22,89.97445721583652
23,5.0
24,8.0
25,92.0051085568327
26,6.0
27,9.0
28,92.56704980842912
29,7.0
30,10.0
31,93.20561941251596
32,8.0
33,11.0
34,93.20561941251596
35,9.0
36,12.0
37,93.47381864623243
38,10.0
39,13.0
40,94.82758620689654
41,11.0
42,14.0
43,94.4316730523627
44,12.0
45,15.0
46,93.2950191570881
47,13.0
48,16.0
49,93.85696040868453
50,14.0
51,17.0
52,93.60153256704979
53,15.0
54,18.0
55,93.7803320561941
56,16.0
57,19.0
58,91.9157088122605
59,17.0
60,20.0
61,92.98850574712641
62,18.0
63,21.0
64,92.38825031928478
65,19.0
66,22.0
67,91.57088122605361
68,20.0
69,23.0
70,91.46871008939972
71,21.0
72,24.0
73,91.09833971902935
74,22.0
75,25.0
76,91.0472541507024
77,23.0
78,26.0
79,92.00510855683267
80,24.0
81,27.0
82,91.82630906768836
83,25.0
84,28.0
85,94.45721583652616
86,26.0
87,29.0
88,94.54661558109832
89,27.0
90,30.0
91,93.79310344827584
92,28.0
93,31.0
94,94.89144316730521
95,29.0
96,32.0
97,94.2656449553001
98,30.0
99,33.0
100,94.45721583652616
101,31.0
102,34.0
103,92.84802043422731
104,32.0
105,35.0
106,90.39591315453382
107,33.0
108,36.0
109,89.42528735632182
110,34.0
111,37.0
112,89.51468710089398
113,35.0
114,38.0
115,89.31034482758619
116,36.0
117,39.0
118,88.28863346104724
119,37.0
120,40.0
121,87.11366538952744
122,38.0
123,41.0
124,85.83652618135375
125,39.0
126,42.0
127,85.61941251596421
128,40.0
129,43.0
130,85.15964240102169
131,41.0
132,44.0
133,84.72541507024263
134,42.0
135,45.0
136,85.10855683269475
137,43.0
138,46.0
139,85.96424010217112
140,44.0
141,47.0
142,85.49169859514686
143,45.0
144,48.0
145,86.10472541507023
146,46.0
147,49.0
148,86.71775223499361
149,47.0
150,50.0
151,86.93486590038314
152,48.0
153,51.0
154,88.28863346104725
155,49.0
156,52.0
157,87.66283524904215
158,50.0
159,53.0
160,89.50191570881226
161,51.0
162,54.0
163,90.35759897828864
164,52.0
165,55.0
166,92.4904214559387
167,53.0
168,56.0
169,92.6309067688378
170,54.0
171,57.0
172,93.06513409961686
173,55.0
174,58.0
175,92.70753512132822
176,56.0
177,59.0
178,93.1162196679438
179,57.0
180,60.0
181,93.05236270753511
182,58.0
183,61.0
184,93.30779054916985
185,59.0
186,62.0
187,92.47765006385696
188,60.0
189,63.0
190,93.81864623243933
191,61.0
192,64.0
193,96.24521072796935
194,62.0
195,65.0
196,96.70498084291188
197,63.0
198,66.0
199,94.57215836526181
200,64.0
201,67.0
202,92.75862068965517
203,65.0
204,68.0
205,91.4176245210728
206,66.0
207,69.0
208,90.12771392081737
209,67.0
210,70.0
211,90.31928480204343
212,68.0
213,71.0
214,89.37420178799489
215,69.0
216,72.0
217,89.06768837803321
218,70.0
219,73.0
220,87.38186462324394
221,71.0
222,74.0
223,87.816091954023
224,72.0
225,75.0
226,90.12771392081737
227,73.0
228,76.0
229,89.87228607918263
230,74.0
231,77.0
232,91.39208173690932
233,75.0
234,78.0
235,91.50702426564496
236,76.0
237,79.0
238,94.16347381864624
239,77.0
240,80.0
241,94.99361430395913
242,78.0
243,81.0
244,96.41123882503193
245,79.0
246,82.0
247,96.32183908045977
248,80.0
249,83.0
250,97.29246487867178
251,81.0
252,84.0
253,97.15197956577268
254,82.0
255,85.0
256,98.1992337164751
257,83.0
258,86.0
259,98.1609195402299
260,84.0
261,87.0
262,97.13920817369095
263,85.0
264,88.0
265,96.93486590038316
266,86.0
267,89.0
268,98.58237547892722
269,87.0
270,90.0
271,99.78288633461048
272,88.0
273,91.0
274,100.66411238825033
275,89.0
276,92.0
277,99.6168582375479
278,90.0
279,93.0
280,101.40485312899106
281,91.0
282,94.0
283,102.40102171136654
284,92.0
285,95.0
286,102.0434227330779
287,93.0
288,96.0
289,100.60025542784163
290,94.0
291,97.0
292,100.26819923371647
293,95.0
294,98.0
295,99.64240102171136
296,96.0
297,99.0
298,97.34355044699872
299,97.0
300,100.0
301,96.79438058748403
302,98.0
303,101.0
304,95.5044699872286
305,99.0
306,102.0
307,95.98978288633461
308,100.0
309,103.0
310,95.38952745849298
311,101.0
312,104.0
313,94.29118773946361
314,102.0
315,105.0
316,95.49169859514689
317,103.0
318,106.0
319,96.56449553001279
320,104.0
321,107.0
322,96.20689655172416
323,105.0
324,108.0
325,95.15964240102173
326,106.0
327,109.0
328,94.40613026819925
329,107.0
330,110.0
331,94.39335887611752
332,108.0
333,111.0
334,95.09578544061304
335,109.0
336,112.0
337,95.1851851851852
338,110.0
339,113.0
340,95.27458492975737
341,111.0
342,114.0
343,94.52107279693489
344,112.0
345,115.0
346,95.19795657726695
347,113.0
348,116.0
349,95.58109833971906
350,114.0
351,117.0
352,95.56832694763733
353,115.0
354,118.0
355,95.23627075351217
356,116.0
357,119.0
358,97.12643678160923
359,117.0
360,120.0
361,96.50063856960412
362,118.0
363,121.0
364,98.78671775223503
365,119.0
366,122.0
367,101.17496807151984
368,120.0
369,123.0
370,100.97062579821205
371,121.0
372,124.0
373,102.0945083014049
374,122.0
375,125.0
376,103.90804597701154
377,123.0
378,126.0
379,103.15453384418906
380,124.0
381,127.0
382,104.52107279693492
383,125.0
384,128.0
385,104.43167305236275
386,126.0
387,129.0
388,105.82375478927207
389,127.0
390,130.0
391,105.46615581098344
392,128.0
393,131.0
394,105.5555555555556
395,129.0
396,132.0
397,105.32567049808434
398,130.0
399,133.0
400,103.90804597701154
401,131.0
402,134.0
403,104.36781609195407
404,132.0
405,135.0
406,103.74201787994896
407,133.0
408,136.0
409,104.12515964240107
410,134.0
411,137.0
412,103.84418901660285
413,135.0
414,138.0
415,103.21839080459775
416,136.0
417,139.0
418,103.35887611749685
419,137.0
420,140.0
421,104.2401021711367
422,138.0
423,141.0
424,104.43167305236275
425,139.0
426,142.0
427,104.62324393358881
428,140.0
429,143.0
430,104.36781609195407
431,141.0
432,144.0
433,104.45721583652623
434,142.0
435,145.0
436,104.84035759897834
437,143.0
438,146.0
439,104.08684546615586
440,144.0
441,147.0
442,103.38441890166034
443,145.0
444,148.0
445,102.60536398467438
446,146.0
447,149.0
448,101.60919540229891
449,147.0
450,150.0
451,101.94125159642407
452,148.0
453,151.0
454,99.51468710089405
455,149.0
456,152.0
457,98.4929757343551
458,150.0
459,153.0
460,98.92720306513415
461,151.0
462,154.0
463,97.95657726692215
464,152.0
465,155.0
466,98.3908045977012
467,153.0
468,156.0
469,98.10983397190299
470,154.0
471,157.0
472,99.23371647509583
473,155.0
474,158.0
475,100.779054916986
476,156.0
477,159.0
478,99.43805874840362
479,157.0
480,160.0
481,99.18263090676888
482,158.0
483,161.0
484,99.27203065134104
485,159.0
486,162.0
487,98.69731800766289
488,160.0
489,163.0
490,98.46743295019162
491,161.0
492,164.0
493,97.49680715197962
494,162.0
495,165.0
496,94.69987228607924
497,163.0
498,166.0
499,94.39335887611756
500,164.0
501,167.0
502,92.95019157088129
503,165.0
504,168.0
505,91.90293742017886
506,166.0
507,169.0
508,90.03831417624527
509,167.0
510,170.0
511,91.40485312899112
512,168.0
513,171.0
514,93.19284802043428
515,169.0
516,172.0
517,94.26564495530019
518,170.0
519,173.0
520,96.02809706257989
521,171.0
522,174.0
523,96.01532567049816
524,172.0
525,175.0
526,95.97701149425295
527,173.0
528,176.0
529,96.67943805874847
530,174.0
531,177.0
532,95.5810983397191
533,175.0
534,178.0
535,93.47381864623252
536,176.0
537,179.0
538,93.90804597701157
539,177.0
540,180.0
541,94.02298850574721
542,178.0
543,181.0
544,94.50830140485321
545,179.0
546,182.0
547,93.63984674329511
548,180.0
549,183.0
550,95.26181353767569
551,181.0
552,184.0
553,94.36781609195411
554,182.0
555,185.0
556,94.13793103448285
557,183.0
558,186.0
559,95.31289910600265
560,184.0
561,187.0
562,93.92081736909333
563,185.0
564,188.0
565,91.02171136653905
566,186.0
567,189.0
568,90.58748403576
569,187.0
570,190.0
571,90.15325670498095
572,188.0
573,191.0
574,89.34865900383153
575,189.0
576,192.0
577,88.54406130268211
578,190.0
579,193.0
580,88.08429118773958
581,191.0
582,194.0
583,85.95146871008951
584,192.0
585,195.0
586,87.12643678160931
587,193.0
588,196.0
589,85.83652618135389
590,194.0
591,197.0
592,84.25287356321851
593,195.0
594,198.0
595,84.22733077905504
596,196.0
597,199.0
598,84.20178799489156
599,197.0
600,200.0
601,84.20178799489156
602,198.0
603,201.0
604,84.20178799489156
605,199.0
606,202.0
607,84.20178799489156
608,200.0
609,203.0
610,84.20178799489156
611,201.0
612,204.0
613,84.20178799489156
614,202.0
615,205.0
616,84.20178799489156
617,203.0
618,206.0
619,84.20178799489156
620,204.0
621,207.0
622,84.20178799489156
623,205.0
624,208.0
625,84.20178799489156
626,206.0
627,209.0
628,84.20178799489156
629,207.0
630,210.0
631,84.20178799489156
632,208.0
633,211.0
634,84.20178799489156
635,209.0
636,212.0
637,84.20178799489156
638,210.0
639,213.0
640,84.20178799489156
641,211.0
642,214.0
643,84.20178799489156
644,212.0
645,215.0
646,84.20178799489156
647,213.0
648,216.0
649,84.20178799489156
650,214.0
651,217.0
652,84.20178799489156
653,215.0
654,218.0
655,84.20178799489156
656,216.0
657,219.0
658,84.20178799489156
659,217.0
660,220.0
661,84.20178799489156
662,218.0
663,221.0
664,84.20178799489156
665,219.0
666,222.0
667,84.20178799489156
668,220.0
669,223.0
670,84.20178799489156
671,221.0
672,224.0
673,84.20178799489156
674,222.0
675,225.0
676,84.20178799489156
677,223.0
678,226.0
679,84.20178799489156
680,224.0
681,227.0
682,84.20178799489156
683,225.0
684,228.0
685,84.20178799489156
686,226.0
687,229.0
688,84.20178799489156
689,227.0
690,230.0
691,84.20178799489156
692,228.0
693,231.0
694,84.20178799489156
695,229.0
696,232.0
697,84.20178799489156
698,230.0
699,233.0
700,84.20178799489156
701,231.0
702,234.0
703,84.20178799489156
704,232.0
705,235.0
706,84.20178799489156
707,233.0
708,236.0
709,84.20178799489156
710,234.0
711,237.0
712,84.20178799489156
713,235.0
714,238.0
715,84.20178799489156
716,236.0
717,239.0
718,84.20178799489156
719,237.0
720,240.0
721,84.20178799489156
722,238.0
723,241.0
724,84.20178799489156
725,239.0
726,242.0
727,84.20178799489156
728,240.0
729,243.0
730,84.20178799489156
731,241.0
732,244.0
733,84.20178799489156
734,242.0
735,245.0
736,84.20178799489156
737,243.0
738,246.0
739,84.20178799489156
740,244.0
